Income,Savings,PreferredLocation,DesiredPropertyType,MustHaveFeatures,NiceToHaveFeatures,MaxCommuteTime,FamilySize
60990.419651217926,36135.17972730417,Rural,House,Swimming Pool,Walk-in Closet,50,3
65624.59375310085,19772.074348015944,Rural,House,Parking,Balcony,23,2
60974.40081655905,27426.23462576655,Rural,Condo,Swimming Pool,None,13,2
97784.17276763407,13314.159261224104,Suburban,Condo,Swimming Pool,Fireplace,38,5
69797.541628931,33992.23122605279,Suburban,House,Garden,Fireplace,50,4
54134.3360656615,36471.95939702741,Rural,Apartment,Gym,None,54,1
82338.17368154784,25168.13537700626,Rural,House,Gym,Balcony,59,1
51687.345250434664,45739.86763290033,Suburban,Condo,Garden,Walk-in Closet,24,3
73132.95392507133,17742.34336997659,Urban,House,Garden,Balcony,37,5
40604.94814180337,15356.251197901798,Rural,Condo,Swimming Pool,None,51,3
50077.20926652354,32244.51818559972,Urban,Condo,None,Fireplace,25,1
72952.91853803686,40470.98302612155,Rural,Condo,Swimming Pool,Walk-in Closet,21,2
81076.99869993115,46839.27691457869,Urban,House,Garden,Fireplace,14,4
72570.52421784955,25411.1573713106,Urban,Condo,Gym,None,43,5
68265.27576417639,40786.808334312955,Urban,Condo,Swimming Pool,Balcony,51,2
65483.444566160666,29614.915304992926,Suburban,House,None,Walk-in Closet,10,4
47822.17014448859,28273.727000591804,Urban,Condo,Swimming Pool,Fireplace,48,5
59202.33687407937,38836.599374866724,Urban,House,Parking,Fireplace,41,5
63090.41843560319,36523.2287841342,Urban,Condo,Swimming Pool,Fireplace,35,1
85856.83339328374,14236.078430157506,Rural,Apartment,Garden,Balcony,26,2
75154.27434352692,44765.40349725896,Urban,Apartment,Gym,Walk-in Closet,57,5
43554.397669558995,43800.91354147452,Rural,Condo,Gym,Balcony,36,5
74861.25954092192,23744.372984904705,Urban,Apartment,Garden,Balcony,33,4
64223.76579375525,33958.03533437409,Urban,House,Parking,Balcony,44,1
59846.169995410615,34940.301862827386,Suburban,Apartment,Garden,None,55,3
79175.14433261301,32606.73765823907,Rural,Condo,Swimming Pool,None,51,1
85464.99283743926,24496.9484615458,Urban,Condo,Garden,None,48,3
83969.20178674298,23283.766320619485,Rural,House,Garden,Walk-in Closet,35,2
57411.73715166042,29744.459290085546,Rural,Condo,Parking,Balcony,58,2
65361.81436223178,41727.290192593646,Suburban,House,Swimming Pool,Balcony,47,5
74968.95147105346,35436.001545944324,Suburban,Apartment,None,None,32,2
84633.17690683539,26293.85667913894,Suburban,Apartment,None,Balcony,31,5
62812.38643232065,37716.987106483444,Suburban,House,Gym,Balcony,13,1
67215.11535004275,1514.5737936992446,Suburban,House,Garden,Fireplace,58,2
53404.97538990958,41487.65700372103,Suburban,Condo,Gym,Balcony,18,1
52056.90063878994,12602.862212219003,Suburban,Apartment,Parking,Fireplace,13,1
82187.88733591296,26375.59058596868,Suburban,House,None,Balcony,16,2
90343.60042856235,18803.301053738563,Urban,Apartment,Garden,Walk-in Closet,32,1
68919.848176295,17053.18524279094,Rural,House,Parking,None,11,2
85052.99346838036,41608.2678737852,Suburban,Apartment,Parking,Fireplace,58,2
75424.54037571451,25322.987986881086,Suburban,Condo,Garden,None,33,2
60323.203680923136,33465.038817307155,Rural,Apartment,Parking,Fireplace,49,3
75420.9340826262,29530.79421120816,Urban,Apartment,Garden,Fireplace,40,1
93070.54849698953,34770.408272231216,Rural,Apartment,Garden,Fireplace,56,4
69462.60941335073,30768.218910602554,Rural,Apartment,Swimming Pool,Walk-in Closet,40,2
93469.6548372101,17170.077758114305,Suburban,Apartment,Gym,Balcony,56,1
30703.82343865383,39962.6681944714,Rural,Condo,Parking,Fireplace,49,5
82328.53756562836,25062.434168386877,Rural,House,Parking,Walk-in Closet,57,2
71305.70602357257,14434.181013402489,Suburban,Apartment,Swimming Pool,Fireplace,52,2
65514.88974301199,25718.848390340874,Suburban,Condo,Swimming Pool,Balcony,43,4
71376.41164803253,45007.59790634311,Suburban,Apartment,Swimming Pool,Fireplace,33,3
40186.46628098661,38502.21742113493,Suburban,Apartment,None,Walk-in Closet,58,3
66704.92168243731,26513.478655921408,Rural,House,None,Balcony,35,2
75356.6885726762,26507.422956815713,Rural,Apartment,None,Walk-in Closet,25,1
92168.41067112274,26783.649487826173,Urban,Condo,Garden,Balcony,56,5
62225.94672589529,50767.47983560841,Urban,Condo,Parking,Balcony,22,5
57872.595956602185,33819.35452231553,Rural,House,Gym,None,24,1
62473.64434623195,34300.4164719107,Urban,Apartment,Garden,None,36,2
83731.03176553111,40302.83454031842,Rural,Condo,Parking,None,13,5
74931.26664489527,32387.891590265135,Urban,Apartment,Parking,Balcony,25,3
62053.59694349442,27409.57854179297,Suburban,Apartment,Swimming Pool,Fireplace,39,1
77699.01149670035,28036.501509150217,Urban,Apartment,Swimming Pool,Walk-in Closet,53,4
71456.1632402206,29283.98740585936,Suburban,House,Garden,Walk-in Closet,39,2
84529.67485799333,29627.777634901584,Suburban,Apartment,Swimming Pool,Walk-in Closet,45,1
59469.203591839716,37276.2954363698,Suburban,Condo,Parking,None,12,5
65085.067801033474,30519.458858072994,Suburban,Apartment,Swimming Pool,Balcony,31,2
64118.377703017635,37326.400772155794,Urban,Condo,None,None,58,3
48047.27577801822,29192.834198914177,Rural,Apartment,Swimming Pool,Fireplace,31,2
74441.80415596864,30786.351903160907,Suburban,Condo,Parking,Balcony,59,2
73915.82908269834,10017.993154678923,Urban,Condo,Garden,Walk-in Closet,59,3
70076.70184963691,39163.276747024815,Suburban,Apartment,Gym,None,58,3
66481.1929993728,33464.884758979926,Urban,Apartment,Swimming Pool,None,21,2
48769.438869243786,39980.101098596526,Urban,Condo,Parking,Fireplace,30,3
63690.320158519615,1037.446218063109,Urban,House,Gym,Fireplace,13,1
64859.282252098456,50883.74704780728,Rural,Apartment,Gym,None,40,3
57965.84096167571,28604.103718448263,Urban,House,None,Fireplace,53,3
67580.71432500986,41081.82816737516,Urban,Apartment,Gym,Walk-in Closet,40,2
76060.76285221807,19600.940728744692,Rural,Apartment,Parking,Fireplace,32,1
98292.78851815795,36127.7390506257,Rural,Apartment,Parking,Fireplace,29,4
72618.66719247759,19465.84436826344,Urban,Apartment,Swimming Pool,None,24,4
73863.25586084147,23762.31039304195,Rural,House,Swimming Pool,None,32,5
68883.3112635075,49140.31353866786,Suburban,Apartment,Swimming Pool,Balcony,37,3
41218.43177051438,28093.175992366534,Suburban,Condo,Gym,Balcony,25,3
69602.29186826175,32174.328731797228,Rural,Condo,Gym,None,46,1
70903.45314911539,38700.67730688754,Rural,House,None,Fireplace,30,4
106948.6316872793,34956.818879726045,Urban,Apartment,Swimming Pool,Fireplace,24,5
67114.58552828316,31504.189051435766,Rural,Condo,Garden,Balcony,26,1
74523.21013500419,33649.61002466225,Urban,House,None,Balcony,59,3
69479.32345442135,54034.155852382755,Suburban,Apartment,Garden,Balcony,46,4
52469.82943570702,29423.812029664146,Rural,Condo,Gym,Walk-in Closet,22,5
87142.34221772531,32010.990467149673,Urban,Condo,None,Walk-in Closet,28,2
81278.9954903016,40506.54396007612,Urban,House,None,Balcony,39,4
81865.47920564571,41055.259329579836,Suburban,Apartment,Parking,Fireplace,54,5
56359.18817807891,41870.3030556038,Rural,Apartment,Gym,Balcony,27,1
91041.91466404148,36387.302220291844,Suburban,Condo,Gym,Walk-in Closet,23,2
48972.23405811579,18569.950872695164,Urban,Condo,None,Fireplace,45,5
78802.85640700406,46334.31532301096,Urban,Condo,Gym,Walk-in Closet,45,5
102856.83438714968,18536.54606981312,Rural,Apartment,None,Fireplace,29,3
55141.955123039676,33026.354652390335,Urban,House,Parking,Walk-in Closet,28,4
61505.53405595842,22457.24149980642,Rural,House,None,Fireplace,54,3
71494.77047631462,29358.616534070075,Suburban,Apartment,Gym,Fireplace,53,2
62447.86518825701,33287.6241030348,Rural,House,Gym,Fireplace,16,5
46740.048534008005,33213.57215450273,Rural,Condo,None,Fireplace,53,3
71028.4446220904,34219.207542352844,Urban,House,None,None,13,4
54065.44429410843,46137.11269058647,Urban,House,None,Walk-in Closet,43,2
77103.88645952773,34535.3430151398,Rural,House,Swimming Pool,Walk-in Closet,11,1
56208.63648649295,27558.433647093512,Urban,Condo,Gym,None,14,3
93249.01607526309,39640.871682883575,Urban,Apartment,Gym,Fireplace,19,2
58251.20061495644,41894.70488924641,Urban,Condo,Swimming Pool,Fireplace,41,1
65169.07725691487,17723.921848630074,Rural,Apartment,None,Walk-in Closet,51,3
82202.75826054504,35974.00069849858,Urban,Apartment,Parking,None,50,2
51537.03525349067,37011.72742310898,Rural,Apartment,None,Fireplace,22,2
73411.89901906194,27024.36496640008,Urban,House,None,Fireplace,48,3
89607.14131423642,43757.06813311619,Suburban,House,Swimming Pool,Fireplace,14,2
45887.75148158159,28499.44412967473,Urban,Apartment,Gym,Balcony,19,5
72769.50787798456,31255.76453471542,Urban,Apartment,None,None,19,3
73898.24191372635,28269.281757161305,Rural,House,Gym,Fireplace,47,2
81727.34307665966,30155.790475814676,Rural,Condo,Garden,Balcony,36,1
51445.739336828774,19037.24913104798,Urban,Apartment,Gym,None,30,1
50193.15080373586,15599.491174057057,Suburban,Condo,Parking,Fireplace,17,5
77829.12348425346,45945.050632249724,Urban,House,Parking,Walk-in Closet,10,3
74454.77009849779,21530.38651681672,Urban,Apartment,None,Balcony,37,2
73757.39275518815,20086.076505436926,Suburban,Condo,Gym,Balcony,58,2
75196.72314245463,8466.098863962852,Rural,Condo,None,Fireplace,48,1
59799.62917632264,23610.382523104978,Urban,Condo,Swimming Pool,Fireplace,23,5
73483.80545741506,16769.102065925017,Rural,House,Parking,Balcony,30,1
74396.08709948022,46420.15160136369,Rural,House,None,Walk-in Closet,39,1
59284.72872960448,40098.170893426344,Suburban,Condo,Swimming Pool,Walk-in Closet,30,5
97986.61766717135,23118.496548222764,Suburban,Condo,None,None,58,3
77107.49381367682,52524.35805344309,Rural,House,Gym,Fireplace,18,2
52130.44754196027,39817.65486991595,Urban,Condo,Gym,Walk-in Closet,26,3
79848.30412950745,26751.686164913775,Rural,Condo,Gym,None,14,4
55379.77494659018,5005.94285126427,Urban,House,Gym,Walk-in Closet,40,4
81806.26905613678,52909.42572590742,Urban,Condo,Garden,Fireplace,49,4
87378.93368511106,16104.275332364039,Suburban,Condo,Swimming Pool,None,47,5
57689.76522472434,13546.012530431082,Urban,Condo,Swimming Pool,None,52,1
84450.64193866483,40225.7043200964,Urban,House,Gym,None,28,3
76191.71390404747,54397.52406339273,Rural,Condo,Garden,Walk-in Closet,45,2
82330.90239991735,43842.72818510518,Suburban,House,Gym,Fireplace,59,4
98451.89473980921,35639.091200523595,Urban,House,Garden,None,42,3
66319.17825995694,35947.54341665286,Urban,Apartment,Gym,Balcony,22,4
58693.95753463766,38534.15558780308,Suburban,Apartment,Parking,Fireplace,23,4
56657.28355561715,37589.28589786765,Rural,Condo,Parking,Balcony,42,2
57762.845725518426,32811.91423969376,Suburban,House,None,Balcony,38,5
68843.47435878844,31042.011039518762,Suburban,Apartment,Gym,None,52,1
75117.27962224965,29374.068721004776,Urban,Condo,Swimming Pool,None,58,5
74150.36198995028,22460.35411133324,Urban,Apartment,None,Walk-in Closet,45,3
82407.74873554036,27193.24923133226,Rural,Apartment,Parking,Walk-in Closet,53,5
70195.0283781686,13070.431858046144,Urban,House,Gym,Walk-in Closet,19,3
91803.01115735975,29016.6037320525,Urban,House,None,Fireplace,40,3
66030.14750143066,20114.088928490826,Suburban,Apartment,Gym,Walk-in Closet,15,1
110802.53749884429,18964.10682784229,Urban,Apartment,Parking,Balcony,10,2
79385.01021647509,31798.941511534784,Rural,House,None,Walk-in Closet,16,1
57142.63665375576,43920.02286344599,Suburban,Condo,Parking,None,36,5
53936.612529083315,39183.166060023126,Rural,House,Garden,Walk-in Closet,30,3
77237.08622864778,14294.99396376823,Suburban,Apartment,Parking,Fireplace,37,4
66648.05822011223,20103.718634296623,Urban,Condo,Gym,Fireplace,25,4
80710.00741138138,39407.71187988216,Suburban,Apartment,Swimming Pool,Balcony,55,3
77098.56436860317,20175.126064616903,Suburban,Condo,Parking,Fireplace,32,1
68907.56631014691,27753.668500029755,Urban,Apartment,Swimming Pool,Walk-in Closet,29,2
57298.094228973925,35500.52099024552,Urban,Condo,Garden,None,47,1
47277.29162971203,20316.555451363645,Rural,Condo,None,Fireplace,34,3
63302.275718994686,31053.7550614596,Rural,Apartment,None,Balcony,37,3
82845.98191485209,16659.745050817954,Urban,Condo,Swimming Pool,Walk-in Closet,14,2
73211.40616195305,23986.323560487865,Urban,House,None,Balcony,30,5
51313.918319320175,33197.81934142537,Urban,Apartment,Parking,Fireplace,27,5
72597.71388776774,14070.062664683308,Suburban,House,Swimming Pool,Fireplace,56,2
75779.76069593255,34404.74737960399,Suburban,Apartment,Gym,Balcony,15,5
56742.138456983004,29803.622010733186,Suburban,Condo,Parking,Walk-in Closet,38,4
72305.87658918292,35524.89954417148,Urban,Condo,Parking,Fireplace,28,5
70873.13077669,32239.141340646616,Rural,Condo,Parking,None,42,5
52855.44553254065,43641.40429973844,Urban,Apartment,Gym,Fireplace,10,5
75366.81040522426,31252.24502647907,Suburban,House,Garden,Walk-in Closet,54,4
78411.76789552352,25705.944588747472,Suburban,House,None,Fireplace,12,5
86245.76864762916,31222.97503032284,Urban,Apartment,Swimming Pool,Balcony,51,4
85807.03078052355,35432.98029036388,Urban,Apartment,Garden,Fireplace,30,2
49334.959480643636,30488.60070325704,Suburban,House,Swimming Pool,Fireplace,44,1
55932.62440127316,30405.916912038825,Suburban,House,None,Walk-in Closet,50,2
77725.5290081299,22980.083121932446,Suburban,House,Gym,Balcony,49,1
77706.78926368314,23370.990824490516,Urban,House,Parking,Walk-in Closet,12,2
77725.71529459071,15973.947282003064,Suburban,Apartment,Parking,Fireplace,34,1
127790.97235982082,47495.76743186939,Suburban,Apartment,Gym,None,54,1
78563.35766039751,17561.36764608715,Rural,Condo,Garden,Fireplace,47,3
87033.48460270898,23070.948022040928,Urban,House,Garden,Walk-in Closet,54,1
84310.02645239803,22815.927344308024,Rural,Condo,Swimming Pool,None,29,1
79770.86876958697,38949.24376944441,Rural,Apartment,Gym,Walk-in Closet,53,3
65270.96133039481,27050.50321707972,Suburban,Apartment,Garden,Walk-in Closet,54,5
81384.53830739901,42477.42072673734,Urban,Condo,Gym,Balcony,43,5
58407.621781936425,23265.093757561313,Suburban,House,None,None,30,3
66447.72089889986,32789.94162223802,Urban,House,Parking,Fireplace,57,4
62719.54678256345,21646.529467402426,Rural,House,Parking,Walk-in Closet,32,1
71228.11209079484,51451.49127773388,Urban,House,Parking,Fireplace,15,1
104719.87850010264,18124.01580970487,Suburban,Condo,Gym,Balcony,22,3
41991.02211112378,33098.20710227027,Suburban,Condo,Gym,Balcony,58,3
80293.9028556177,36337.76880932099,Suburban,Apartment,Swimming Pool,None,32,4
45809.26193215523,34137.990974514985,Urban,House,Parking,Balcony,18,5
62921.0220131585,28147.123411222918,Rural,House,Swimming Pool,Balcony,26,2
86334.25895451049,28701.793002665738,Rural,House,Parking,Fireplace,11,5
70964.20028643194,30438.114719791098,Urban,Condo,Swimming Pool,Balcony,28,1
53833.82833106041,28529.979983715115,Suburban,House,Swimming Pool,Balcony,28,3
59270.444361100475,39638.79116794909,Rural,Condo,None,Walk-in Closet,16,4
80193.96623402013,52105.23001591351,Suburban,House,Swimming Pool,Balcony,51,5
59044.50052424295,24425.082149921665,Urban,House,Gym,Walk-in Closet,51,4
73246.87884372962,16301.970204209221,Suburban,Apartment,Swimming Pool,Balcony,29,5
70683.57759855721,29117.179516487453,Rural,House,Parking,Balcony,18,1
60225.99478591274,55797.093376543184,Rural,House,Swimming Pool,None,26,2
102159.16133987988,21963.25432030269,Suburban,Apartment,Garden,None,36,4
79508.78533477016,46391.16805444067,Urban,Condo,Parking,Walk-in Closet,56,4
39622.86120013589,46777.0081407644,Suburban,Condo,Garden,Balcony,11,2
72796.81472154142,24464.117582920055,Urban,House,Parking,Fireplace,45,4
60073.20302847418,35689.83079185276,Suburban,Condo,Gym,None,28,4
82786.50002194336,46283.966231285376,Rural,House,Gym,Fireplace,26,5
58112.188923509486,26208.72259012513,Urban,Apartment,Gym,None,14,5
68278.95337799651,27964.196398976383,Urban,Apartment,Garden,None,48,2
77574.80918470686,24183.19086051356,Urban,House,None,Balcony,27,1
82986.32791255182,19852.43269307133,Rural,Apartment,Parking,None,16,4
51995.55389416336,23507.224549339928,Suburban,Apartment,Gym,Fireplace,26,1
64982.481462385775,17760.597332377434,Rural,House,Parking,None,48,2
62875.82033258566,30340.83468259226,Urban,House,Garden,Walk-in Closet,45,2
60200.06151139432,22300.26768941358,Suburban,Apartment,None,Balcony,49,5
96481.81360421646,32337.859117907476,Rural,Condo,Garden,Balcony,54,4
76074.72566441433,14441.043537963727,Urban,Condo,Parking,Walk-in Closet,13,3
51086.74068497433,33308.80232214457,Urban,House,None,Walk-in Closet,47,2
83767.92920582164,38335.28961608925,Rural,House,None,Walk-in Closet,34,4
101832.3429551895,10062.643574285445,Rural,Condo,Garden,None,14,1
85486.9789082672,33740.56569847572,Rural,Apartment,Gym,Balcony,39,5
47209.4505106898,42276.68992473292,Urban,Condo,Parking,Walk-in Closet,21,1
62736.48890700623,17903.589813087943,Rural,Condo,Swimming Pool,None,13,2
89003.66723779934,46725.723868377034,Urban,Condo,Swimming Pool,Walk-in Closet,33,2
59384.958015718286,34190.19009366045,Rural,Condo,Garden,Fireplace,38,1
76657.29142219343,22949.881442415914,Urban,House,Parking,Fireplace,18,2
81619.51080144005,29442.30922342294,Urban,House,Parking,Balcony,13,4
56096.04292632875,35583.26912521722,Suburban,Apartment,Garden,None,33,2
69107.119659073,30760.053914124113,Rural,Apartment,Parking,Fireplace,23,5
21380.98989896391,35387.55992446369,Rural,Apartment,Gym,Fireplace,14,4
54634.185379985654,20793.264069206336,Urban,Apartment,Garden,None,27,3
66211.4777291026,31693.60824036078,Urban,Condo,Gym,Walk-in Closet,51,2
51283.25227052726,15862.855030950199,Urban,House,Parking,None,28,2
94486.16955897454,28887.739386512996,Suburban,House,Garden,Walk-in Closet,21,5
48547.87933059051,20960.923585352102,Suburban,Apartment,Parking,Fireplace,27,5
63399.332699545244,22644.700574102335,Urban,Apartment,Garden,Fireplace,26,1
71961.10865929136,42360.93175210437,Rural,Condo,Parking,Fireplace,39,1
91619.09933599173,40913.10120594269,Rural,Condo,Gym,Balcony,33,1
48462.06773230841,36091.38120907177,Suburban,Apartment,Gym,Balcony,20,5
87447.45628232439,19076.872353274208,Suburban,House,Parking,Balcony,44,1
70153.49591529381,26835.91550305198,Urban,House,Garden,None,32,1
55277.37023428074,42130.976999791834,Rural,House,Swimming Pool,Fireplace,26,3
76931.55211394906,31417.169136399047,Urban,Apartment,Gym,Fireplace,10,1
72985.89543360205,53193.29539981694,Suburban,House,Gym,None,24,2
60996.74684261808,33933.178393943715,Rural,Condo,Swimming Pool,Balcony,41,5
71047.03127485028,31920.491164900315,Rural,Condo,Parking,None,18,4
64220.2960470736,26908.835357974986,Suburban,Apartment,Garden,Balcony,24,3
71702.76017876872,31335.409047822825,Urban,Condo,Parking,Fireplace,37,5
79931.9601178157,28475.301636194563,Urban,Apartment,None,Walk-in Closet,33,5
93790.25224218029,37081.08676688591,Rural,House,Gym,Balcony,44,2
51432.76751759727,39567.02316794584,Suburban,House,None,Fireplace,31,1
101995.500619844,22140.105394920505,Rural,House,Gym,Fireplace,36,2
40718.68300716247,16687.67046442222,Suburban,Condo,Gym,Walk-in Closet,28,1
67723.22357446625,11637.946268967033,Urban,Apartment,None,Fireplace,54,1
78824.75809726864,35079.913269125434,Suburban,House,None,Fireplace,21,5
74214.8780160255,18966.33393826126,Urban,Apartment,Parking,Balcony,29,1
60659.50720269109,8471.09407047517,Suburban,House,None,Balcony,10,3
66878.16624464087,33885.786045309644,Rural,Condo,Parking,Walk-in Closet,30,3
62604.985980117504,54929.99517432791,Urban,Condo,Parking,Walk-in Closet,58,3
61159.52864583683,29939.290884601065,Rural,Apartment,Parking,Fireplace,54,5
82744.03145531537,38384.907744516415,Rural,Condo,Gym,Balcony,10,2
75355.23228947571,30818.29358547565,Urban,Condo,Gym,Walk-in Closet,19,4
59606.35607109019,29011.103468088575,Urban,Apartment,None,Walk-in Closet,56,1
83493.99813149875,39190.764829877684,Rural,House,Gym,None,41,4
74609.49281314915,27097.254558113487,Rural,Condo,None,Walk-in Closet,48,2
82192.9317825844,32673.92314071903,Rural,Apartment,Gym,Fireplace,31,2
79444.43262885418,33216.97806196014,Rural,Condo,Garden,Balcony,27,5
57565.07483616892,23319.095463569513,Urban,Condo,Garden,Walk-in Closet,57,3
61597.284397045456,39920.42349536523,Urban,Condo,None,None,55,3
81209.40407684892,28250.402433045914,Rural,Condo,Gym,Balcony,41,2
79155.55398150197,22442.548405071553,Suburban,Apartment,Gym,Walk-in Closet,36,5
69686.47609053778,35365.098435704036,Suburban,Apartment,Parking,None,37,5
71759.91074963173,21015.32018208963,Urban,Apartment,Swimming Pool,Walk-in Closet,27,1
89164.97343682637,30281.811573691284,Rural,Condo,None,Balcony,48,3
61126.42916746255,29908.810033557966,Rural,Condo,Swimming Pool,Balcony,58,2
78206.46071755057,40858.95565831578,Urban,Condo,Swimming Pool,Balcony,38,4
66967.11021349159,34746.982328799524,Suburban,Apartment,None,Fireplace,27,3
66734.78195159169,29749.73041254856,Suburban,Condo,Gym,Walk-in Closet,53,1
86481.65277980786,38177.66299200287,Suburban,House,None,Fireplace,17,5
82381.24523482045,43902.075490173134,Urban,Condo,Swimming Pool,Balcony,40,2
82202.64454000958,35578.103063518625,Suburban,House,Gym,None,43,3
89582.18210731493,30103.526198433807,Urban,Condo,Garden,Walk-in Closet,16,4
70315.05762449138,16881.637676498405,Urban,Apartment,None,Fireplace,45,1
80229.29456942446,19348.863369246275,Rural,Condo,None,Walk-in Closet,27,1
65345.99865109816,26947.752956453325,Suburban,House,Gym,None,47,3
74862.49528732663,23904.877978407167,Urban,House,Garden,Fireplace,18,4
68047.85418448474,28130.28697014554,Suburban,Condo,Garden,Balcony,18,1
71454.93947489078,30566.49924897107,Suburban,House,Gym,Fireplace,55,2
78927.3553815537,35296.927543567304,Rural,House,Parking,Walk-in Closet,17,1
57726.689751497914,29295.012219409087,Suburban,Apartment,None,Walk-in Closet,44,4
101385.8091352819,34865.01643826202,Rural,Condo,None,Walk-in Closet,27,5
54909.73927750447,30644.744148101203,Urban,Condo,Swimming Pool,Walk-in Closet,14,5
51787.17080818402,10245.334336461288,Suburban,Condo,Gym,Balcony,23,3
87371.66310250101,20606.646061812455,Urban,House,Swimming Pool,Fireplace,37,4
81874.94040944404,28559.124442783846,Suburban,Condo,Swimming Pool,Balcony,39,1
79361.79725578232,17903.052571588923,Urban,Condo,Garden,Balcony,13,1
79425.1826389642,35999.287299962045,Suburban,Apartment,None,Balcony,48,5
69816.29840729629,45307.508323436974,Suburban,Apartment,Swimming Pool,Walk-in Closet,29,5
56541.18442771253,42187.61851697317,Suburban,Apartment,Garden,Walk-in Closet,34,2
71137.0683729059,27865.57129069792,Suburban,House,Gym,Walk-in Closet,37,5
59842.574327318325,44907.261368499516,Suburban,Condo,Swimming Pool,Fireplace,21,2
84626.79600126627,31486.674572021115,Suburban,Apartment,None,None,11,1
67794.13927746793,26629.140288819606,Suburban,Apartment,Swimming Pool,Walk-in Closet,52,2
57617.54204811233,23865.9733645906,Suburban,Apartment,Gym,Fireplace,23,2
65179.2123752051,26975.303135118716,Suburban,Condo,Swimming Pool,Walk-in Closet,31,3
76193.97181413436,26118.231814587714,Urban,Condo,None,Walk-in Closet,40,5
61544.13170794038,31704.162223754876,Rural,Condo,Garden,Balcony,32,2
57666.69406650353,31605.739810498646,Suburban,House,None,Balcony,57,1
73655.30817237869,30030.460201534144,Rural,House,Garden,Balcony,29,4
73674.49856663083,34369.3816974635,Suburban,Apartment,Parking,Fireplace,47,2
62395.85236943305,41906.462747863414,Suburban,Condo,None,None,13,5
62934.425415725156,39495.54135441324,Urban,Apartment,None,None,24,3
73480.74906036454,15151.020315500964,Urban,Condo,Gym,Fireplace,33,1
48278.73487754013,4460.788650980452,Rural,Condo,Swimming Pool,Walk-in Closet,34,3
48888.04338435167,39343.19911239274,Urban,Condo,Garden,Fireplace,10,4
59223.33668121346,16331.21301584579,Urban,House,Garden,Walk-in Closet,16,2
66798.2927243223,27752.345981073166,Rural,House,Gym,Fireplace,40,2
74663.61348397007,18298.869739406407,Urban,Condo,Gym,Fireplace,21,5
92130.34325424329,11980.195624199801,Suburban,Apartment,Swimming Pool,Fireplace,51,2
82864.8943480303,35414.62728204788,Rural,Condo,Swimming Pool,None,14,1
67600.92205054859,37591.55160302647,Rural,Condo,None,Balcony,53,4
69714.75688145967,24234.895992732807,Suburban,Apartment,Parking,Fireplace,59,3
54962.05953043287,4089.577078550901,Urban,Condo,Swimming Pool,None,51,4
69722.30296011415,24537.55551747517,Rural,Apartment,Gym,Balcony,47,2
65670.12041619793,33918.04005402546,Rural,House,Swimming Pool,Balcony,21,3
74840.77840507134,15210.884312258713,Suburban,House,Garden,Fireplace,48,5
57591.53584671515,31833.599197791555,Suburban,Apartment,Parking,Walk-in Closet,27,4
77790.19771361758,29846.901508270046,Urban,House,None,Walk-in Closet,11,3
92991.08369503866,35792.914996010884,Rural,House,Garden,Walk-in Closet,19,3
68368.59777314714,31195.803684141534,Urban,Apartment,Garden,Fireplace,24,3
76025.67583148413,20269.310591184447,Urban,House,Parking,Walk-in Closet,39,1
