id,property_url,title,address,price,pricing_qualifier,listing_time,property_type,bedrooms,bathrooms,epc_rating,size,features,normalized_address,source,latitude,longitude,Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status,Date
11.0,https://www.onthemarket.com/details/12767625/,2 bedroom apartment for sale,"Wizard Way, Oakgrove, Milton Keynes",299995.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating: C*,861 sq ft / 80 sq m,"['Penthouse apartment', 'Two bedrooms', 'En-suite shower room', 'Balcony & Roof terrace', 'Open plan living area', 'Good decorative order', 'Popular area', 'Allocated parking', 'Council tax band B', 'Energy rating C']","Wizard Way, Oakgrove, Milton Keynes, Buckinghamshire",scraped,52.0412392109,-0.716107447604,,299995.0,,,F,,,,,,,,,,,,2023-12-31
12.0,https://www.onthemarket.com/details/13581675/,4 bedroom detached house for sale,"Lyndon Gardens, High Wycombe HP13",635000.0,Price qualifier not available,OnTheMarket > 14 days,Detached house,4 bed,2bath,EPC rating: C*,"1,227 sq ft / 114 sq m","['An Immaculate Four Bedroom Detached Refurbished By Current Owners', 'Gas Central Heating To Radiators And Double Glazed Windows', 'Quiet Cul De Sac Location In Highly Regarded Development', 'Delightful Enclosed Rear Garden And Open Plan Front Garden', 'Short Walk To Totteridge Common And Kingswood', 'Garage Plus Additional Driveway Parking']","Lyndon Gardens, High Wycombe HP13, Buckinghamshire",scraped,51.635458748861,-0.725367371791,,635000.0,,,D,,,,,,,,,,,,2023-12-31
13.0,https://www.onthemarket.com/details/14048271/,4 bedroom bungalow for sale,"Gawcott, Buckingham MK18",585000.0,Price qualifier not available,OnTheMarket > 14 days,Bungalow,4 bed,3bath,EPC rating: C*,"1,528 sq ft / 142 sq m","['Tenure: Freehold', 'Immaculately presented throughout', 'Detached', 'Four bedrooms', 'Dressing room', 'Modern kitchen-diner with island and breakfast bar', 'Outdoor covered dining area', 'Study', 'Log burner', 'Garden office', 'Private rear garden backing onto fields']","Gawcott, Buckingham MK18, Buckinghamshire",scraped,51.988115794367,-0.999967267925,,585000.0,,,D,,,,,,,,,,,,2023-12-31
14.0,https://www.onthemarket.com/details/13626468/,3 bedroom detached bungalow for sale,"Moor End, Edlesborough",550000.0,Offers in excess of,OnTheMarket > 14 days,Detached bungalow,3 bed,1bath,EPC rating: D*,796 sq ft / 74 sq m,"['THREE BEDROOM EXTENDED DETACHED BUNGALOW', 'EN-SUITE TO MAIN BEDROOM', 'RECENTLY UPDATED AND RENOVATED', 'BEAUTIFULLY PRESENTED', 'BI-FOLDING DOORS', 'DRIVEWAY PARKING', 'VILLAGE LOCATION', 'ENCLOSED REAR GARDEN', 'OFFICE', 'INTERACTIVE VIRTUAL TOUR']","Moor End, Edlesborough, Buckinghamshire",scraped,51.869941,-0.5842485,,550000.0,,,D,,,,,,,,,,,,2023-12-31
15.0,https://www.onthemarket.com/details/13934797/,2 bedroom maisonette for sale,"Darvell Drive, Chesham",320000.0,Guide price,OnTheMarket > 14 days,Maisonette,2 bed,1bath,EPC rating: C*,710 sq ft / 66 sq m,"['Tenure: Leasehold (116 years remaining)', 'Two double bedrooms maisonette', 'Renovated Throughout', 'Entrance hall', 'Living room', 'Fitted kitchen', 'Family bathroom', 'Private front and rear garden', 'Beautiful views', 'Garage']","Darvell Drive, Chesham, Buckinghamshire",scraped,51.7175872,-0.6230718,,320000.0,,,F,,,,,,,,,,,,2023-12-31
16.0,https://www.onthemarket.com/details/14073983/,5 bedroom townhouse for sale,"Milton Road, Broughton, Milton Keynes, MK10",439995.0,Price qualifier not available,OnTheMarket < 14 days,Townhouse,5 bed,3bath,EPC rating: B*,"1,797 sq ft / 167 sq m","['Tenure: Freehold', 'FIVE BEDROOMS', 'SET OVER THREE FLOORS', 'FEATURE BALCONY', 'PRIVATE REAR GARDEN', 'BAY WINDOWS', 'GARAGE AND PARKING']","Milton Road, Broughton, Milton Keynes, MK10, Buckinghamshire",scraped,52.049030824195,-0.693777783228,,439995.0,,,D,,,,,,,,,,,,2023-12-31
17.0,https://www.onthemarket.com/details/13844676/,3 bedroom detached bungalow for sale,"Derwent Road, Linslade, LU7 2XT",450000.0,Price qualifier not available,OnTheMarket > 14 days,Detached bungalow,3 bed,1bath,EPC rating: E*,850 sq ft / 79 sq m,"['Impressively Sized Detached Bungalow', 'Three Bedrooms', 'No Upper Chain', 'Popular Linslade Location', 'Overlooking Greenery to Front', 'Driveway for up to Three Vehicles', 'Garage', 'Large Rear & Side Gardens', 'Recently Refitted Kitchen', 'Close to Town Centre & Amenities']","Derwent Road, Linslade, LU7 2XT, Buckinghamshire",scraped,51.918170019946,-0.694330036963,,450000.0,,,D,,,,,,,,,,,,2023-12-31
18.0,https://www.onthemarket.com/details/13840137/,3 bedroom house for sale,"The Square, Preston Bissett, Buckingham",425000.0,Offers over,OnTheMarket > 14 days,House,3 bed,1bath,EPC rating: E*,683 sq ft / 63 sq m,"['Three Bedrooms', 'Semi-Detached', 'Period Property', 'Well Presented', 'Character Features', 'Wood Burning Stove', 'Pretty Rear Garden', 'Village Location', 'Catchment For Grammar Schools', 'Stone-Built']","The Square, Preston Bissett, Buckingham, Buckinghamshire",scraped,51.9620556,-1.0434644,,425000.0,,,D,,,,,,,,,,,,2023-12-31
19.0,https://www.onthemarket.com/details/12702618/,2 bedroom apartment for sale,"Stoke Common Road, Fulmer, Buckinghamshire, SL3",500000.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,2 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Share of freehold (974 years remaining)', 'First floor apartment', 'Stunning location', 'In need of updating', 'Two double bedrooms', 'Double length carport', 'Beautiful communal grounds']","Stoke Common Road, Fulmer, Buckinghamshire, SL3",scraped,51.56064505206,-0.573113745151,,500000.0,,,F,,,,,,,,,,,,2023-12-31
20.0,https://www.onthemarket.com/details/13811148/,3 bedroom terraced house for sale,"Northey Avenue, Newton Leys, Milton Keynes",350000.0,Price qualifier not available,OnTheMarket > 14 days,Terraced house,3 bed,2bath,EPC rating not available,Size info not available,"['Only Three Years Old New Build', 'Fully Upgraded Kitchen/Diner with Integrated Appliances', 'Fully Landscaped Rear Garden with Artificial Lawn', 'En Suite to Master Bedroom', 'Downstairs Cloakroom', 'Two Allocated Parking Spaces']","Northey Avenue, Newton Leys, Milton Keynes, Buckinghamshire",scraped,51.972963862,-0.732181941,,350000.0,,,T,,,,,,,,,,,,2023-12-31
21.0,https://www.onthemarket.com/details/13511658/,3 bedroom detached house for sale,"Common Street, Ravenstone",595000.0,Guide price,OnTheMarket > 14 days,Detached house,3 bed,2bath,EPC rating not available,"1,343 sq ft / 125 sq m",[],"Common Street, Ravenstone, Buckinghamshire",scraped,52.146277409126,-0.760091609117,,595000.0,,,D,,,,,,,,,,,,2023-12-31
22.0,https://www.onthemarket.com/details/13919165/,3 bedroom terraced house for sale,"Haywards Croft, Milton Keynes",240000.0,Price qualifier not available,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Freehold', 'No Upper Chain', '3 Bedroom terraced home', 'Spacious living rooms and private gardens', 'Close proximity to shops and schools', 'Ideal for families or investment buyers', 'Call today to arrange your viewing']","Haywards Croft, Milton Keynes, Buckinghamshire",scraped,52.054139995973,-0.82530502734,,240000.0,,,T,,,,,,,,,,,,2023-12-31
23.0,https://www.onthemarket.com/details/14016509/,2 bedroom apartment for sale,"Grenada Crescent, Newton Leys, Milton Keynes, MK3",220000.0,Guide price,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating not available,Size info not available,"['Tenure: Leasehold', 'GROUND FLOOR APARTMENT', 'TWO BEDROOMS', 'TWO BATHROOMS (ONE EN-SUITE)', 'OPEN PLAN KITCHEN/LIVING AREA', 'ALLOCATED PARKING FOR ONE CAR', 'SITUATED IN NEWTON LEYS']","Grenada Crescent, Newton Leys, Milton Keynes, MK3, Buckinghamshire",scraped,51.97405896038,-0.736057026072,,220000.0,,,F,,,,,,,,,,,,2023-12-31
24.0,https://www.onthemarket.com/details/13472454/,1 bedroom maisonette for sale,"Maypole Road, Taplow",189950.0,Guide price,OnTheMarket > 14 days,Maisonette,1 bed,1bath,EPC rating: B*,409 sq ft / 38 sq m,"['Well Presented One Bedroom Ground Floor Maisonette', 'Sough-After Burnham / Taplow Location', '10 Minute Walk to Taplow Station (Main Paddington Line & Crossrail Station)', 'Ideal Purchase for First Time Buyers & Investors', 'Allocated Parking Space', 'Sold with No Onward Chain', 'Modern Kitchen & Bathroom', 'Easy Reach of Junction 7 of The M4 Motorway', 'Easy Reach of Heathrow Airport', 'Highly Recommended']","Maypole Road, Taplow, Buckinghamshire",scraped,51.5258767,-0.6691568,,189950.0,,,F,,,,,,,,,,,,2023-12-31
25.0,https://www.onthemarket.com/details/14045007/,3 bedroom link detached house for sale,"Edrich Avenue, Oldbrook, Milton Keynes",359950.0,Price qualifier not available,OnTheMarket > 14 days,Link detached house,3 bed,2bath,EPC rating: C*,839 sq ft / 78 sq m,"['Close Proximity To Central Milton Keynes', 'Three Bedrooms', 'Re-Fitted En Suite to Master Bedroom', 'Recently Renovated Kitchen', 'Quiet Cul-De-Sac Location', 'Ideal Family Home']","Edrich Avenue, Oldbrook, Milton Keynes, Buckinghamshire",scraped,52.0312850268,-0.750472884756,,359950.0,,,D,,,,,,,,,,,,2023-12-31
26.0,https://www.onthemarket.com/details/13417839/,2 bedroom end of terrace house for sale,"Campbell Close, High Wycombe HP13",279950.0,Guide price,OnTheMarket > 14 days,End of terrace house,2 bed,1bath,EPC rating: C*,581 sq ft / 54 sq m,"['2 Bedrooms', 'End Terrace', 'Superb Views', 'Lounge', 'Parking For 2-3 Cars', 'No Upper Chain']","Campbell Close, High Wycombe HP13, Buckinghamshire",scraped,51.635800080621,-0.760685761893,,279950.0,,,T,,,,,,,,,,,,2023-12-31
27.0,https://www.onthemarket.com/details/13397821/,3 bedroom semi-detached house for sale,"Lakes Lane, Newport Pagnell, Buckinghamshire, MK16",525000.0,Offers in region of,OnTheMarket > 14 days,Semi-detached house,3 bed,1bath,EPC rating: D*,871 sq ft / 81 sq m,"['Tenure: Freehold', 'Sought After Location', 'Extensive Rear Garden', 'Character Property', 'Three Bedrooms', 'Driveway with Off Road Parking', 'Garage and large gardens.']","Lakes Lane, Newport Pagnell, Buckinghamshire, MK16",scraped,52.089482802434,-0.738141487404,,525000.0,,,S,,,,,,,,,,,,2023-12-31
28.0,https://www.onthemarket.com/details/13861273/,1 bedroom flat for sale,"Peatey Court, High Wycombe",185000.0,Price qualifier not available,OnTheMarket > 14 days,Flat,1 bed,1bath,EPC rating: B*,505 sq ft / 47 sq m,"['One Bedroom Apartment', 'Second Floor', 'Excellent Location', 'Close to Station', 'Long Lease of 102 Years', 'No Onward Chain']","Peatey Court, High Wycombe, Buckinghamshire",scraped,51.6254265,-0.7309521,,185000.0,,,F,,,,,,,,,,,,2023-12-31
29.0,https://www.onthemarket.com/details/13841659/,3 bedroom semi-detached house for sale,"Widdenton View, High Wycombe HP14",356500.0,Price qualifier not available,OnTheMarket > 14 days,Semi-detached house,3 bed,1bath,EPC rating: D*,925 sq ft / 86 sq m,"['Tenure: Freehold', '3 Bedrooms', '2 Reception Rooms', 'Village location', 'Garage', 'Parking', 'Well presented but updating required', 'Gardens', 'Vacant Possession']","Widdenton View, High Wycombe HP14, Buckinghamshire",scraped,51.621945185741,-0.8299809228,,356500.0,,,S,,,,,,,,,,,,2023-12-31
30.0,https://www.onthemarket.com/details/13507846/,3 bedroom terraced house for sale,"Richardson Close, Aylesbury",350000.0,Price qualifier not available,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating: B*,882 sq ft / 82 sq m,"['Tenure: Freehold', '360 VIRTUAL TOUR', 'THREE BEDROOMS', 'BUILT IN WARDROBES', 'OPEN PLAN LIVING', 'DOWNSTAIRS W/C', 'ALLOCATED PARKING', 'EASY REACH OF TOWN CENTRE', 'CLOSE TO SUPERMARKET', 'WALKING DISTANCE TO TRAIN STATION', 'LOW MAINTENANCE GARDEN']","Richardson Close, Aylesbury, Buckinghamshire",scraped,51.817115068,-0.810636186,,350000.0,,,T,,,,,,,,,,,,2023-12-31
31.0,https://www.onthemarket.com/details/13755014/,3 bedroom terraced house for sale,"Downdean, Eaglestone, Milton Keynes, MK6",285000.0,Guide price,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Freehold', 'END OF TERRACE', 'THREE BEDROOMS', 'DINING / SITTING ROOM', 'FAMILY BATHROOM', 'SINGLE GARAGE', 'REAR GARDEN']","Downdean, Eaglestone, Milton Keynes, MK6, Buckinghamshire",scraped,52.030700003743,-0.742209982473,,285000.0,,,T,,,,,,,,,,,,2023-12-31
32.0,https://www.onthemarket.com/details/14000160/,2 bedroom apartment for sale,"Wooton Court, New Bradwell, Buckinghamshire, Buckinghamshire, MK13",160000.0,Offers over,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating: C*,516 sq ft / 48 sq m,"['Tenure: Leasehold', 'GROUND FLOOR', 'TWO DOUBLE BEDROOMS', 'NO UPPER CHAIN', 'EN-SUITE TO MASTER BEDROOM', 'ALLOCATED PARKING', '105 YEARS ON THE LEASE', 'OPEN PLANNED LIVING ACCOMMODATION', 'WALKING DISTANCE TO WOLVERTON STATION', 'IDEAL INVESTMENT', 'GREAT FIRST TIME PURCHASE']","Wooton Court, New Bradwell, Buckinghamshire, Buckinghamshire, MK13",scraped,52.06660063986,-0.791553026777,,160000.0,,,F,,,,,,,,,,,,2023-12-31
33.0,https://www.onthemarket.com/details/12578075/,3 bedroom terraced house for sale,"Minster Way, Langley, Berkshire, SL3",425000.0,Offers in excess of,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Freehold', '3 bedroom staggered terrace', 'Close to train station', 'Through lounge/diner', 'Off street parking', 'Good size bedrooms', 'Convenient for popular schools']","Minster Way, Langley, Berkshire, SL3, Buckinghamshire",scraped,51.506502388326,-0.551409666808,,425000.0,,,T,,,,,,,,,,,,2023-12-31
34.0,https://www.onthemarket.com/details/14002191/,2 bedroom apartment for sale,"Malt House The Stocks, Milton Keynes MK19",235000.0,Guide price,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating not available,Size info not available,"['Tenure: Leasehold (116 years remaining)', 'Duplex Apartment', 'Two Shower Rooms', 'Allocated Parking Spaces', 'Open Plan Living Area', 'Close to the Grand Union Canal', 'Gas Radiator central heating', 'Communal Garden']","Malt House The Stocks, Milton Keynes MK19, Buckinghamshire",scraped,52.076016210447,-0.846375983762,,235000.0,,,F,,,,,,,,,,,,2023-12-31
35.0,https://www.onthemarket.com/details/11960548/,2 bedroom apartment for sale,"Manhattan House, The Hub, Milton Keynes, MK9",280000.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating not available,Size info not available,"['Tenure: Leasehold', 'TOP FLOOR PENTHOUSE', '2 BEDROOM WITH EN-SUITE', 'SITTING / DINING ROOM', 'CENTRAL LIVING', 'LOWER GROUND PARKING']","Manhattan House, The Hub, Milton Keynes, MK9, Buckinghamshire",scraped,52.03785,-0.76326,,280000.0,,,F,,,,,,,,,,,,2023-12-31
36.0,https://www.onthemarket.com/details/13734872/,1 bedroom apartment for sale,"49 Station Road, Gerrards Cross SL9",360000.0,Offers in excess of,OnTheMarket > 14 days,Apartment,1 bed,1bath,EPC rating: B*,645 sq ft / 60 sq m,"['Tenure: Leasehold (120 years remaining)', 'Contemporary one bedroom apartment in the heart of Gerrards Cross', 'Communal entrance lobby with video entry phone system', 'Communal lift to first floor', 'Entrance hallway with doors leading off', ""Open plan Kitchen / Living room 17'8 x 16'8"", ""Bedroom 12'9 x 9'2"", 'Bathroom', '0Secure underground parking (allocated 1 car parking space)', 'EPC rating B', 'POTENTIAL INVESTMENT PURCHASE WITH TENANT IN SITU']","49 Station Road, Gerrards Cross SL9, Buckinghamshire",scraped,51.587299806164,-0.549282587905,,360000.0,,,F,,,,,,,,,,,,2023-12-31
37.0,https://www.onthemarket.com/details/14015957/,1 bedroom mews for sale,"Brewery Mews, Market Place, Henley-On-Thames",450000.0,Price qualifier not available,OnTheMarket > 14 days,Mews,1 bed,1bath,EPC rating not available,710 sq ft / 66 sq m,"['Tenure: Leasehold (148 years remaining)', 'PART OF A MODERN LUXURY GATED DEVELOPMENT', 'PRIME TOWN CENTRE LOCATION', 'VIDEO ENTRY SYSTEM', '1 LARGE DOUBLE BEDROOM', 'GROUND FLOOR MEWS PROPERTY', 'UNDERFLOOR HEATING', 'ECO AIR SOURCE HEATING SYSTEM', 'EPC C', 'COUNCIL TAX BAND C']","Brewery Mews, Market Place, Henley-On-Thames, Buckinghamshire",scraped,51.537315548216,-0.90604639573,,450000.0,,,O,,,,,,,,,,,,2023-12-31
38.0,https://www.onthemarket.com/details/13543141/,4 bedroom detached house for sale,"Monkston, Milton Keynes MK10",585000.0,Price qualifier not available,OnTheMarket > 14 days,Detached house,4 bed,2bath,EPC rating: C*,"1,173 sq ft / 109 sq m","['Tenure: Freehold', 'Stunning detached home', 'Four bedrooms', 'Double garage and driveway', 'Large landscaped garden', 'Immaculate presentation throughout', 'Two reception rooms', 'Refitted kitchen', 'Refitted bathroom and en suite', 'Sought after location', 'EPC rating: C']","Monkston, Milton Keynes MK10, Buckinghamshire",scraped,52.040659068598,-0.693993686778,,585000.0,,,D,,,,,,,,,,,,2023-12-31
39.0,https://www.onthemarket.com/details/13989250/,4 bedroom semi-detached house for sale,"Poles Hill, Chesham",585000.0,Price qualifier not available,OnTheMarket > 14 days,Semi-detached house,4 bed,1bath,EPC rating: E*,"1,227 sq ft / 114 sq m","['Extended Semi Detached Family Home', '4 Bedrooms', 'Home Office To Rear', 'Far Reaching Views Front Aspect', 'Downstairs Cloakroom', 'Double Glazed', 'Gas Fired Central Heating', 'Private Driveway And Garage', 'Open Countryside Close By', 'Walking Distance To Chesham Town Centre']","Poles Hill, Chesham, Buckinghamshire",scraped,51.7161513,-0.6257225,,585000.0,,,S,,,,,,,,,,,,2023-12-31
40.0,https://www.onthemarket.com/details/2538923/,3 bedroom end of terrace house for sale,"Wavendon House Drive, Wavendon, Milton Keynes, Buckinghamshire, MK17",525000.0,Offers in region of,OnTheMarket > 14 days,End of terrace house,3 bed,2bath,EPC rating not available,Size info not available,"['Tenure: Freehold', 'Grade II listed mews house', 'Three bedrooms', 'Two bath/shower rooms', 'Two reception rooms', 'Conservatory', 'Private south facing walled garden', 'Garage and parking', '10 acres of landscaped grounds']","Wavendon House Drive, Wavendon, Milton Keynes, Buckinghamshire, MK17",scraped,52.030125806259,-0.653129428475,,525000.0,,,T,,,,,,,,,,,,2023-12-31
41.0,https://www.onthemarket.com/details/14048288/,3 bedroom terraced house for sale,"Steeple Claydon, Buckingham MK18",279950.0,Price qualifier not available,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating: D*,914 sq ft / 85 sq m,"['Tenure: Freehold', 'Three double bedrooms', 'Well presented throughout', 'Popular village location', 'Dining room', 'No upper chain']","Steeple Claydon, Buckingham MK18, Buckinghamshire",scraped,51.93781,-0.98294,,279950.0,,,T,,,,,,,,,,,,2023-12-31
42.0,https://www.onthemarket.com/details/13974907/,3 bedroom terraced house for sale,"Aylesbury,  Buckinghamshire,  HP20",340000.0,Offers in excess of,OnTheMarket > 14 days,Terraced house,3 bed,1bath,EPC rating: E*,"1,052 sq ft / 98 sq m","['Tenure: Freehold', 'Three Bedrooms', 'Enclosed Front And Rear Gardens', 'Converted Garage', 'Refitted Kitchen', 'Refitted Bathroom', 'Off Road Parking']","Aylesbury,  Buckinghamshire,  HP20",scraped,51.8165002,-0.8131117,,340000.0,,,T,,,,,,,,,,,,2023-12-31
43.0,https://www.onthemarket.com/details/13793273/,4 bedroom semi-detached house for sale,"Damson Way, Edlesborough",550000.0,Offers in excess of,OnTheMarket > 14 days,Semi-detached house,4 bed,2bath,EPC rating: B*,"1,291 sq ft / 120 sq m","['FOUR BEDROOM SEMI-DETACHED FAMILY HOME', 'CONTEMPORARY STYLE', 'GARAGE', 'DRIVEWAY PARKING FOR MULTIPLE VEHICLES', 'EN-SUITE TO MAIN BEDROOM', 'VILLAGE LOCATION', 'CLOSE TO LOCAL AMENITIES AND TRANSPORT', 'DOWNSTAIRS CLOAKROOM', 'WELL APPOINTED KITCHEN/DINING ROOM', 'UTILITY ROOM']","Damson Way, Edlesborough, Buckinghamshire",scraped,51.868434,-0.588128,,550000.0,,,S,,,,,,,,,,,,2023-12-31
44.0,https://www.onthemarket.com/details/13002928/,4 bedroom detached house for sale,"Wolston Meadow, Middleton MK10",550000.0,Price qualifier not available,OnTheMarket > 14 days,Detached house,4 bed,3bath,EPC rating: C*,"1,323 sq ft / 123 sq m","['Tenure: Freehold', 'Four Bedrooms', 'Hall', 'Cloaks/WC', 'Kitchen', 'Spacious Living room', 'Dining room', 'Bathroom', 'Masterbedroom with Ensuite', 'Integral Garage', 'Driveway Parking  for two vehicles']","Wolston Meadow, Middleton MK10, Buckinghamshire",scraped,52.045108031868,-0.708038008536,,550000.0,,,D,,,,,,,,,,,,2023-12-31
